C1	C2	C3	C4	C5	C6	C7	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	AD1	AD2	AD3	AD4	AD5	AD7	AD8	AD9	AD11	AD12	AD13	AD14	AD15	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD28	AD29	AD30	AD31	AD34	AD35	AD36	AD37	AD39	AD40	AD41	AD42	AD43	AD44	AD45	AD46	AD47	AD48
miR-584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-585	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0
miR-586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-590	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
miR-591	48	32	27	22	14	159	19	101	15	23	158	31	135	95	60	92	70	66	102	14	49	17	39	16	78	32	76	511	75	12	51	38	58	206	63	437	152	141	34	47	464	49	24	46	8	36	65	2	29	35	22	7	19	151	6	95	46	75	20	50	162	43	68
miR-592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-593	2	1	0	1	1	1	0	4	1	0	3	0	3	1	1	0	1	0	2	0	0	1	0	0	1	0	0	6	0	1	1	1	1	5	0	3	2	6	1	0	11	1	1	1	0	2	1	0	5	3	0	1	1	1	0	2	0	1	2	1	4	0	2
miR-594	26	10	10	6	1	9	1	17	3	2	9	0	16	4	5	4	5	9	10	5	2	3	0	0	3	2	1	6	1	0	0	0	1	19	1	16	5	23	1	1	70	6	0	25	0	10	3	0	4	0	0	0	0	3	0	4	14	0	0	2	8	8	5
miR-595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-597	33	14	13	4	1	14	7	19	5	8	24	5	17	9	5	9	12	34	23	5	5	1	7	1	6	1	4	28	9	1	3	6	3	25	5	62	21	9	3	0	121	10	1	16	0	11	13	0	16	2	1	1	0	11	0	2	14	4	7	4	11	29	6
miR-598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-599	3	2	2	0	0	7	0	0	0	2	6	2	4	4	1	1	4	6	8	1	1	0	0	0	1	0	0	3	2	0	1	2	2	15	4	2	4	11	1	1	13	7	0	0	0	4	0	0	1	0	1	1	0	2	0	6	0	0	0	5	8	1	0
miR-600	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-602	13	8	14	2	7	1	0	24	5	4	0	0	11	0	1	2	6	6	3	5	2	2	7	2	9	1	3	49	2	2	1	1	1	17	2	125	13	19	5	1	63	6	1	23	0	10	8	0	3	3	0	1	1	6	0	3	5	8	3	3	3	10	9
miR-603	0	1	2	0	0	0	0	2	1	1	1	1	0	3	0	1	11	2	1	6	0	2	2	0	3	1	4	4	9	2	6	7	2	15	0	7	3	10	0	0	27	1	2	3	1	8	2	0	1	1	0	0	0	8	0	4	2	17	0	2	3	3	10
miR-604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-607	11	1	10	2	1	2	0	28	5	1	2	0	15	2	0	2	8	8	10	8	1	4	0	0	6	1	2	89	2	1	1	0	2	21	0	124	61	19	0	0	45	8	0	35	0	9	4	0	2	0	0	0	0	11	0	3	13	1	0	2	14	9	2
miR-608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-609	0	1	1	0	3	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	0	1	1	0	0	0	0	2	0	0	0
miR-610	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0
miR-611	2	2	2	1	0	1	1	2	1	0	1	0	10	4	2	1	2	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	5	0	0	1	0	5	0	0	2	0	3	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	2	1
miR-612	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-614	10	4	2	3	11	0	0	2	2	2	3	0	11	0	1	1	1	2	1	4	1	3	1	0	0	0	2	12	8	2	1	1	2	32	0	19	8	4	4	2	16	11	0	14	1	3	8	0	4	3	0	3	0	7	0	7	2	1	0	0	8	4	3
miR-615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-616	4	5	0	0	0	1	0	4	1	2	6	0	2	2	1	0	1	2	4	4	0	1	3	0	0	0	0	1	0	0	1	1	0	8	0	8	6	4	0	0	14	4	0	3	0	3	1	0	0	1	0	0	0	0	0	4	2	1	0	0	0	3	1
miR-617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-618	3160	1633	6388	1225	306	778	360	12222	4674	1594	732	375	5462	606	339	635	1612	1612	2638	7304	934	2609	860	320	2884	424	1055	18806	1020	264	623	831	1101	8055	639	16177	9333	10530	1102	363	20538	2980	162	13123	215	8448	7038	31	4417	824	210	170	141	3853	53	2777	11486	835	1687	532	3830	6670	1524
miR-619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
miR-622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-623	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	4	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
miR-624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-626	0	1	1	0	0	10	0	1	1	0	3	1	2	7	1	2	3	6	3	1	0	0	0	0	0	0	1	3	1	0	2	0	1	6	0	4	0	5	1	0	15	0	0	2	0	4	0	0	0	0	0	0	0	0	0	2	4	0	1	0	2	1	1
miR-627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	2	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
miR-629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-630	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	3	0	0	0	1	0	1	0	2	0	0	5	2	0	2	2	1	3	0	1	0	2	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	1
miR-631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-634	31	14	13	4	0	14	7	18	4	7	22	4	15	9	4	7	10	30	19	3	4	1	7	1	5	1	4	23	7	0	3	5	3	18	5	59	21	5	3	0	112	9	1	14	0	10	11	0	15	2	1	1	0	10	0	2	11	4	7	3	8	28	4
miR-635	639	192	800	68	41	376	47	1883	366	212	274	43	750	244	63	184	390	569	691	576	126	118	114	55	247	59	124	2582	279	23	145	95	96	798	71	3188	1247	902	61	52	3068	267	44	1327	10	805	318	14	363	74	45	28	13	389	9	211	1173	120	164	47	475	939	177
miR-636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-637	1852	1238	1580	907	594	1890	638	1855	1530	705	1774	935	6966	1681	2446	1633	1302	1160	1586	1622	864	1250	643	537	2255	765	1891	8093	1601	288	1501	978	2040	5675	895	8234	3846	3264	2089	837	7940	2701	419	3329	605	2526	3215	23	1682	774	281	351	327	3794	162	2007	2058	967	1052	1059	2923	1810	987
miR-638	24	5	3	5	1	0	1	5	3	0	1	2	2	1	3	3	6	1	0	3	0	3	0	0	3	0	5	17	1	0	3	0	0	16	0	10	8	6	0	0	29	1	1	18	0	11	9	0	1	3	2	0	1	10	0	4	5	2	3	1	6	6	31
miR-639	45922	23153	35965	16880	5914	27935	11140	73215	34871	19564	29859	16077	81868	20699	11472	21799	42723	34118	40732	44620	45416	22957	22685	20584	60670	25177	45593	163661	76042	15969	60017	44171	39204	156088	30099	208904	112437	83238	42146	30879	187157	48134	34731	67853	12577	66029	83482	1279	36432	29593	13289	25023	15360	79641	4566	40093	75861	38090	25820	14430	54956	66176	19864
miR-640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-642	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
miR-643	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
miR-644	33	23	48	14	27	31	25	16	24	17	78	19	123	43	37	38	88	142	127	11	50	23	26	10	44	21	25	113	45	12	90	46	50	308	36	56	37	88	44	20	420	101	12	28	6	36	64	3	40	34	19	12	9	107	1	85	19	51	19	48	146	27	69
miR-645	1	3	3	2	0	5	2	1	1	0	6	3	6	8	1	3	10	4	2	2	5	6	5	3	6	6	12	4	4	8	15	5	6	19	8	8	3	4	11	10	28	5	2	0	6	2	16	0	10	3	4	5	4	12	2	9	4	8	3	8	10	7	1
miR-646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-647	2039	1153	1731	1170	691	3185	655	1807	1867	1941	2765	1746	2655	1953	955	1990	4445	4569	6149	974	5643	1221	4378	1894	3595	4918	5556	7513	8146	1533	5801	5927	9998	16355	5014	6086	3580	7246	6822	4494	19646	3998	1634	1553	1766	2511	6599	124	2771	4130	886	985	1468	8659	670	5961	1895	5175	2855	3169	9107	2393	2196
miR-648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-649	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-650	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	0
miR-651	1	0	0	1	0	1	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	1	0	0	3	1	0	0	0	0	0	0	1	0	2	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1
miR-652	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-653	11	12	13	17	5	21	12	8	6	11	34	17	41	23	9	19	14	30	34	8	25	14	27	9	27	11	10	35	22	6	42	23	14	125	16	31	12	35	8	13	167	47	8	7	3	22	46	1	23	24	7	5	1	40	0	36	27	21	22	14	26	32	20
miR-654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-656	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-657	21280	8254	16618	7460	9953	25304	6129	44833	12182	10260	17576	7994	58446	12981	12619	11708	14443	18886	21369	25114	10639	10636	10028	5383	16069	6814	6372	38481	8555	2629	9312	5818	12571	35012	7293	53120	19308	24414	7828	9267	81027	13199	4052	54726	2026	18922	14657	260	17662	12117	2343	3283	4014	22566	1550	10362	13414	7637	7487	6653	19515	22341	7198
miR-658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-664	0	0	0	0	0	0	0	1	0	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0
miR-665	0	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	4	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
miR-666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-667	766	1226	810	582	612	963	432	851	993	331	1175	603	3429	1157	988	1108	1558	608	1574	1008	818	661	553	368	2091	364	700	1810	1188	240	556	491	1444	5925	576	2049	1253	1571	1128	499	5279	1515	508	1484	146	1508	1078	14	701	450	385	286	397	3217	74	1162	1477	409	782	713	2383	1261	762
miR-668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-669	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	3	0	0	0	1	0	0	1	3	1	0	0	2	4	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	1
miR-670	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0
miR-671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-672	9	4	3	8	2	1	2	5	9	4	3	2	11	3	4	2	6	6	3	7	5	6	2	2	5	3	2	18	11	1	1	4	6	15	4	13	8	9	1	6	26	5	8	11	2	8	17	0	7	3	1	0	5	7	0	7	7	3	1	9	6	14	3
miR-673	59	36	106	17	11	277	22	235	49	26	224	36	648	187	39	159	65	99	133	79	21	14	14	7	39	2	17	389	43	2	28	32	24	364	25	392	119	217	22	9	747	91	4	71	4	168	44	0	68	22	8	4	6	94	1	72	164	24	34	17	124	134	43
miR-674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-678	1	1	0	1	1	2	4	4	1	0	1	1	4	3	7	4	0	1	5	1	0	1	0	0	2	0	1	23	1	0	0	0	2	6	1	14	8	1	1	1	11	0	1	10	0	1	9	0	0	0	2	0	0	6	0	0	1	0	1	1	2	0	2
miR-679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-680	0	2	0	0	0	1	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	1	2	2	1	2	0	3	0	0	5	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0
miR-681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-682	27	41	34	12	23	7	1	39	8	4	3	3	90	9	8	6	6	5	9	11	1	2	3	3	22	6	7	50	5	1	9	2	7	27	9	104	123	20	2	23	34	27	6	27	9	15	26	0	10	6	0	2	7	19	7	9	19	0	18	4	9	20	6
miR-683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-685	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	1	1	0	1	1	1	2	0	2	0	1	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	4	0	0	0	0	1	0	3	0	0
